2021 super output area - lower layer,Geog_Code,Total: All households,%,Occupancy rating of rooms: +2 or more,%,Occupancy rating of rooms: +1,%,Occupancy rating of rooms: 0,%,Occupancy rating of rooms: -1,% Occupancy rating of rooms: -1 or less,Occupancy rating of rooms: -2 or less,%
Birmingham 097A,E01009017,482,100,172,35.7,111,23,112,23.2,65,13.5,22,4.6
Birmingham 097B,E01009043,600,100,269,44.8,135,22.5,124,20.7,44,7.3,28,4.7
Birmingham 097C,E01009044,454,100,175,38.5,111,24.4,92,20.3,38,8.4,38,8.4
Birmingham 097D,E01009045,700,100,238,34,186,26.6,197,28.1,54,7.7,25,3.6
Birmingham 097E,E01009046,602,100,341,56.6,102,16.9,119,19.8,32,5.3,8,1.3
Birmingham 097F,E01009395,522,100,174,33.3,80,15.3,175,33.5,58,11.1,35,6.7
Birmingham 098A,E01009016,728,100,187,25.7,189,26,281,38.6,57,7.8,14,1.9
Birmingham 098B,E01009022,593,100,286,48.2,140,23.6,123,20.7,32,5.4,12,2
Birmingham 098C,E01009023,559,100,315,56.4,131,23.4,82,14.7,20,3.6,11,2
Birmingham 098D,E01009030,625,100,283,45.3,187,29.9,113,18.1,30,4.8,12,1.9
Birmingham 099A,E01009281,697,100,337,48.4,192,27.5,154,22.1,14,2,0,0
Birmingham 099B,E01009292,666,100,435,65.3,139,20.9,58,8.7,31,4.7,3,0.5
Birmingham 099C,E01009294,807,100,429,53.2,173,21.4,165,20.4,34,4.2,6,0.7
Birmingham 099D,E01009295,670,100,284,42.4,130,19.4,199,29.7,44,6.6,13,1.9
Birmingham 100A,E01009280,743,100,384,51.7,199,26.8,140,18.8,17,2.3,3,0.4
Birmingham 100B,E01009282,695,100,298,42.9,165,23.7,203,29.2,26,3.7,3,0.4
Birmingham 100C,E01009288,449,100,267,59.5,80,17.8,68,15.1,34,7.6,0,0
Birmingham 100D,E01009293,617,100,354,57.4,133,21.6,95,15.4,26,4.2,9,1.5
Birmingham 100E,E01009296,590,100,347,58.8,130,22,77,13.1,24,4.1,12,2
Birmingham 101A,E01008924,634,100,259,40.9,199,31.4,128,20.2,38,6,10,1.6
Birmingham 101B,E01009501,570,100,170,29.8,172,30.2,160,28.1,57,10,11,1.9
Birmingham 101C,E01009502,582,100,191,32.8,142,24.4,178,30.6,55,9.5,16,2.7
Birmingham 101D,E01009503,583,100,196,33.6,158,27.1,168,28.8,51,8.7,10,1.7
Birmingham 101E,E01009505,643,100,244,37.9,192,29.9,166,25.8,33,5.1,8,1.2
Birmingham 102A,E01008917,511,100,231,45.2,144,28.2,92,18,35,6.8,9,1.8
Birmingham 102B,E01008923,643,100,88,13.7,178,27.7,288,44.8,73,11.4,16,2.5
Birmingham 102C,E01008925,508,100,268,52.8,155,30.5,65,12.8,17,3.3,3,0.6
Birmingham 102D,E01008927,601,100,133,22.1,151,25.1,265,44.1,48,8,4,0.7
Birmingham 102E,E01008928,738,100,152,20.6,194,26.3,316,42.8,59,8,17,2.3
Birmingham 103A,E01009019,602,100,196,32.6,156,25.9,165,27.4,51,8.5,34,5.6
Birmingham 103B,E01009020,557,100,221,39.7,135,24.2,136,24.4,50,9,15,2.7
Birmingham 103C,E01009021,681,100,155,22.8,234,34.4,206,30.2,66,9.7,20,2.9
Birmingham 103D,E01009024,615,100,161,26.2,168,27.3,188,30.6,70,11.4,28,4.6
Birmingham 103E,E01009025,569,100,155,27.2,180,31.6,176,30.9,42,7.4,16,2.8
Birmingham 103F,E01009033,700,100,209,29.9,190,27.1,230,32.9,62,8.9,9,1.3
Birmingham 104A,E01009175,586,100,370,63.1,113,19.3,84,14.3,17,2.9,2,0.3
Birmingham 104B,E01009177,634,100,398,62.8,117,18.5,90,14.2,20,3.2,9,1.4
Birmingham 104C,E01009178,758,100,445,58.7,140,18.5,135,17.8,30,4,8,1.1
Birmingham 104D,E01009179,638,100,394,61.8,117,18.3,101,15.8,16,2.5,10,1.6
Birmingham 104E,E01009189,590,100,376,63.7,122,20.7,68,11.5,20,3.4,4,0.7
Birmingham 105A,E01008933,545,100,295,54.1,123,22.6,79,14.5,33,6.1,15,2.8
Birmingham 105B,E01008934,547,100,328,60,109,19.9,83,15.2,23,4.2,4,0.7
Birmingham 105C,E01009031,643,100,296,46,182,28.3,118,18.4,31,4.8,16,2.5
Birmingham 105D,E01009037,758,100,385,50.8,166,21.9,160,21.1,33,4.4,14,1.8
Birmingham 105E,E01009176,676,100,301,44.5,144,21.3,170,25.1,46,6.8,15,2.2
Birmingham 106C,E01008929,698,100,141,20.2,195,27.9,287,41.1,66,9.5,9,1.3
Birmingham 106D,E01008930,790,100,286,36.2,285,36.1,178,22.5,32,4.1,9,1.1
Birmingham 106E,E01009495,536,100,173,32.3,161,30,146,27.2,47,8.8,9,1.7
Birmingham 106F,E01033629,1052,100,309,29.4,279,26.5,370,35.2,81,7.7,13,1.2
Birmingham 107A,E01008953,655,100,309,47.2,177,27,113,17.3,40,6.1,16,2.4
Birmingham 107B,E01008963,620,100,244,39.4,182,29.4,143,23.1,43,6.9,8,1.3
Birmingham 107C,E01008964,620,100,267,43.1,177,28.5,139,22.4,28,4.5,9,1.5
Birmingham 107D,E01008965,573,100,412,71.9,99,17.3,42,7.3,14,2.4,6,1
Birmingham 107E,E01008966,684,100,264,38.6,177,25.9,188,27.5,46,6.7,9,1.3
Birmingham 108A,E01009032,590,100,321,54.4,125,21.2,92,15.6,34,5.8,18,3.1
Birmingham 108B,E01009034,556,100,324,58.3,115,20.7,80,14.4,30,5.4,7,1.3
Birmingham 108C,E01009035,614,100,296,48.2,167,27.2,99,16.1,37,6,15,2.4
Birmingham 108D,E01009036,537,100,321,59.8,115,21.4,64,11.9,26,4.8,11,2
Birmingham 109A,E01009494,623,100,147,23.6,195,31.3,215,34.5,49,7.9,17,2.7
Birmingham 109B,E01009496,639,100,460,72,118,18.5,49,7.7,12,1.9,0,0
Birmingham 109C,E01009497,754,100,313,41.5,214,28.4,191,25.3,27,3.6,9,1.2
Birmingham 109D,E01009504,641,100,402,62.7,142,22.2,79,12.3,15,2.3,3,0.5
Birmingham 109E,E01009506,620,100,414,66.8,131,21.1,62,10,9,1.5,4,0.6
Birmingham 110A,E01008967,650,100,446,68.6,120,18.5,69,10.6,14,2.2,1,0.2
Birmingham 110B,E01008968,713,100,413,57.9,153,21.5,114,16,28,3.9,5,0.7
Birmingham 110C,E01008970,599,100,274,45.7,162,27,124,20.7,33,5.5,6,1
Birmingham 110D,E01008981,591,100,405,68.5,103,17.4,70,11.8,12,2,1,0.2
Birmingham 111A,E01008932,654,100,262,40.1,168,25.7,164,25.1,47,7.2,13,2
Birmingham 111B,E01008935,681,100,183,26.9,204,30,228,33.5,54,7.9,12,1.8
Birmingham 111C,E01008936,656,100,284,43.3,126,19.2,195,29.7,38,5.8,13,2
Birmingham 111D,E01008938,571,100,188,32.9,149,26.1,149,26.1,70,12.3,15,2.6
Birmingham 111E,E01008939,704,100,230,32.7,228,32.4,186,26.4,51,7.2,9,1.3
Birmingham 112A,E01008951,612,100,354,57.8,110,18,130,21.2,15,2.5,3,0.5
Birmingham 112B,E01008952,874,100,414,47.4,233,26.7,186,21.3,39,4.5,2,0.2
Birmingham 112C,E01008955,746,100,405,54.3,181,24.3,123,16.5,26,3.5,11,1.5
Birmingham 112D,E01008956,556,100,368,66.2,98,17.6,75,13.5,15,2.7,0,0
Birmingham 112E,E01008957,728,100,429,58.9,146,20.1,108,14.8,42,5.8,3,0.4
Birmingham 113A,E01008950,715,100,301,42.1,212,29.7,153,21.4,48,6.7,1,0.1
Birmingham 113B,E01008954,599,100,376,62.8,124,20.7,83,13.9,13,2.2,3,0.5
Birmingham 113C,E01008958,766,100,192,25.1,279,36.4,271,35.4,21,2.7,3,0.4
Birmingham 113D,E01009493,1019,100,107,10.5,328,32.2,493,48.4,80,7.9,11,1.1
Birmingham 115A,E01008937,629,100,247,39.3,149,23.7,191,30.4,33,5.2,9,1.4
Birmingham 115B,E01008940,581,100,179,30.8,184,31.7,160,27.5,41,7.1,17,2.9
Birmingham 115C,E01008941,578,100,211,36.5,156,27,136,23.5,60,10.4,15,2.6
Birmingham 115D,E01008944,735,100,315,42.9,175,23.8,191,26,43,5.9,11,1.5
Birmingham 116A,E01008959,804,100,318,39.6,251,31.2,208,25.9,21,2.6,6,0.7
Birmingham 116B,E01008960,625,100,438,70.1,111,17.8,68,10.9,8,1.3,0,0
Birmingham 116C,E01008961,724,100,302,41.7,175,24.2,183,25.3,63,8.7,1,0.1
Birmingham 116D,E01008962,855,100,239,28,212,24.8,286,33.5,109,12.7,9,1.1
Birmingham 117A,E01008942,628,100,215,34.2,203,32.3,146,23.2,49,7.8,15,2.4
Birmingham 117B,E01008943,569,100,183,32.2,190,33.4,154,27.1,33,5.8,9,1.6
Birmingham 117C,E01008969,689,100,459,66.6,109,15.8,103,14.9,14,2,4,0.6
Birmingham 117D,E01008971,750,100,315,42,275,36.7,129,17.2,29,3.9,2,0.3
Birmingham 118A,E01008972,758,100,299,39.4,225,29.7,176,23.2,50,6.6,8,1.1
Birmingham 118B,E01008973,879,100,375,42.7,268,30.5,196,22.3,35,4,5,0.6
Birmingham 118C,E01008974,1110,100,526,47.4,363,32.7,188,16.9,24,2.2,9,0.8
Birmingham 118D,E01008975,664,100,411,61.9,151,22.7,98,14.8,3,0.5,1,0.2
Birmingham 119A,E01009172,559,100,207,37,159,28.4,146,26.1,37,6.6,10,1.8
Birmingham 119B,E01009173,638,100,197,30.9,179,28.1,188,29.5,63,9.9,11,1.7
Birmingham 119C,E01009174,521,100,154,29.6,160,30.7,165,31.7,39,7.5,3,0.6
Birmingham 119D,E01009498,678,100,210,31,174,25.7,212,31.3,63,9.3,19,2.8
Birmingham 119E,E01009499,662,100,277,41.8,186,28.1,144,21.8,45,6.8,10,1.5
Birmingham 120A,E01009205,616,100,407,66.1,112,18.2,79,12.8,14,2.3,4,0.6
Birmingham 120B,E01009206,651,100,418,64.2,145,22.3,67,10.3,17,2.6,4,0.6
Birmingham 120C,E01009211,685,100,298,43.5,196,28.6,146,21.3,43,6.3,2,0.3
Birmingham 120D,E01009218,646,100,381,59,142,22,114,17.6,8,1.2,1,0.2
Birmingham 120E,E01009219,609,100,395,64.9,109,17.9,77,12.6,27,4.4,1,0.2
Birmingham 121A,E01008976,644,100,290,45,155,24.1,147,22.8,40,6.2,12,1.9
Birmingham 121B,E01008978,630,100,72,11.4,93,14.8,354,56.2,93,14.8,18,2.9
Birmingham 121C,E01008979,707,100,212,30,188,26.6,243,34.4,56,7.9,8,1.1
Birmingham 121D,E01008980,680,100,180,26.5,167,24.6,250,36.8,61,9,22,3.2
Birmingham 122A,E01008945,741,100,296,39.9,231,31.2,172,23.2,32,4.3,10,1.3
Birmingham 122B,E01008946,642,100,270,42.1,139,21.7,204,31.8,21,3.3,8,1.2
Birmingham 122C,E01008947,539,100,232,43,163,30.2,107,19.9,26,4.8,11,2
Birmingham 122D,E01008948,618,100,395,63.9,144,23.3,59,9.5,19,3.1,1,0.2
Birmingham 122E,E01008949,508,100,337,66.3,121,23.8,43,8.5,6,1.2,1,0.2
Birmingham 123A,E01008977,703,100,306,43.5,186,26.5,171,24.3,36,5.1,4,0.6
Birmingham 123B,E01009109,517,100,117,22.6,162,31.3,161,31.1,60,11.6,17,3.3
Birmingham 123C,E01009119,659,100,339,51.4,162,24.6,138,20.9,18,2.7,2,0.3
Birmingham 123D,E01009120,776,100,331,42.7,288,37.1,128,16.5,25,3.2,4,0.5
Birmingham 124A,E01009162,635,100,380,59.8,120,18.9,111,17.5,21,3.3,3,0.5
Birmingham 124B,E01009207,664,100,420,63.3,183,27.6,50,7.5,11,1.7,0,0
Birmingham 124C,E01009208,704,100,482,68.5,153,21.7,51,7.2,18,2.6,0,0
Birmingham 124D,E01009209,948,100,381,40.2,301,31.8,213,22.5,47,5,6,0.6
Birmingham 124E,E01009213,755,100,386,51.1,152,20.1,173,22.9,38,5,6,0.8
Birmingham 125B,E01009155,586,100,180,30.7,158,27,192,32.8,41,7,15,2.6
Birmingham 125D,E01009157,616,100,170,27.6,163,26.5,222,36,51,8.3,10,1.6
Birmingham 125E,E01009160,710,100,131,18.5,173,24.4,322,45.4,72,10.1,12,1.7
Birmingham 125F,E01009161,610,100,190,31.1,176,28.9,189,31,48,7.9,7,1.1
Birmingham 125H,E01034942,670,100,192,28.7,240,35.8,177,26.4,49,7.3,12,1.8
Birmingham 125I,E01034943,730,100,211,28.9,184,25.2,271,37.1,55,7.5,9,1.2
Birmingham 126A,E01009117,800,100,146,18.2,241,30.1,327,40.9,73,9.1,13,1.6
Birmingham 126B,E01009210,829,100,309,37.3,244,29.4,212,25.6,60,7.2,4,0.5
Birmingham 126C,E01009212,772,100,192,24.9,233,30.2,264,34.2,70,9.1,13,1.7
Birmingham 126D,E01009214,766,100,152,19.8,220,28.7,321,41.9,64,8.4,9,1.2
Birmingham 126E,E01009215,933,100,159,17,319,34.2,371,39.8,76,8.1,8,0.9
Birmingham 127A,E01009108,435,100,286,65.7,100,23,40,9.2,7,1.6,2,0.5
Birmingham 127B,E01009111,597,100,351,58.8,113,18.9,102,17.1,27,4.5,4,0.7
Birmingham 127C,E01009112,635,100,305,48,175,27.6,131,20.6,18,2.8,6,0.9
Birmingham 127D,E01009116,571,100,406,71.1,110,19.3,48,8.4,6,1.1,1,0.2
Birmingham 127E,E01009118,679,100,268,39.5,149,21.9,207,30.5,42,6.2,13,1.9
Birmingham 128A,E01009107,696,100,168,24.1,130,18.7,306,44,79,11.4,13,1.9
Birmingham 128B,E01009110,606,100,193,31.8,151,24.9,205,33.8,52,8.6,5,0.8
Birmingham 128C,E01009113,704,100,151,21.4,200,28.4,293,41.6,51,7.2,9,1.3
Birmingham 128D,E01009114,650,100,273,42,164,25.2,174,26.8,31,4.8,8,1.2
Birmingham 128E,E01009115,608,100,231,38,136,22.4,183,30.1,50,8.2,8,1.3
Birmingham 129A,E01009158,895,100,293,32.7,304,34,245,27.4,43,4.8,10,1.1
Birmingham 129C,E01009165,643,100,170,26.4,163,25.3,210,32.7,89,13.8,11,1.7
Birmingham 129D,E01009169,701,100,407,58.1,171,24.4,101,14.4,18,2.6,4,0.6
Birmingham 129E,E01034944,662,100,158,23.9,262,39.6,219,33.1,23,3.5,0,0
Birmingham 129F,E01034945,636,100,227,35.7,166,26.1,203,31.9,35,5.5,5,0.8
Birmingham 130A,E01009159,913,100,434,47.5,249,27.3,194,21.2,30,3.3,6,0.7
Birmingham 130B,E01009164,625,100,272,43.5,185,29.6,135,21.6,32,5.1,1,0.2
Birmingham 130C,E01009167,589,100,304,51.6,159,27,102,17.3,21,3.6,3,0.5
Birmingham 130D,E01009171,720,100,226,31.4,234,32.5,210,29.2,41,5.7,9,1.2
Birmingham 131A,E01009166,565,100,255,45.1,171,30.3,103,18.2,32,5.7,4,0.7
Birmingham 131B,E01009168,649,100,351,54.1,209,32.2,65,10,21,3.2,3,0.5
Birmingham 131C,E01009170,634,100,258,40.7,242,38.2,108,17,24,3.8,2,0.3
Birmingham 131D,E01009216,836,100,364,43.5,250,29.9,166,19.9,42,5,14,1.7
Birmingham 131E,E01009217,661,100,368,55.7,192,29,77,11.6,22,3.3,2,0.3
Birmingham 132A,E01009039,651,100,405,62.2,166,25.5,59,9.1,19,2.9,2,0.3
Birmingham 132B,E01009040,614,100,439,71.5,106,17.3,45,7.3,19,3.1,5,0.8
Birmingham 132C,E01009041,637,100,420,65.9,123,19.3,65,10.2,22,3.5,7,1.1
Birmingham 132D,E01009042,526,100,322,61.2,129,24.5,59,11.2,11,2.1,5,1
Birmingham 132E,E01032589,602,100,298,49.5,163,27.1,122,20.3,13,2.2,6,1
Birmingham 133A,E01009262,530,100,275,51.9,118,22.3,87,16.4,33,6.2,17,3.2
Birmingham 133B,E01009267,599,100,250,41.7,126,21,147,24.5,66,11,10,1.7
Birmingham 133C,E01009276,541,100,317,58.6,123,22.7,59,10.9,23,4.3,19,3.5
Birmingham 133D,E01009278,544,100,295,54.2,140,25.7,80,14.7,20,3.7,9,1.7
Birmingham 133E,E01009279,452,100,274,60.6,92,20.4,55,12.2,24,5.3,7,1.5
Birmingham 133F,E01032591,471,100,275,58.4,107,22.7,49,10.4,29,6.2,11,2.3
Birmingham 134A,E01008995,911,100,115,12.6,276,30.3,404,44.3,96,10.5,20,2.2
Birmingham 134B,E01033557,987,100,17,1.7,242,24.5,617,62.5,102,10.3,9,0.9
Birmingham 134C,E01033624,771,100,28,3.6,268,34.8,404,52.4,66,8.6,5,0.6
Birmingham 134D,E01033626,592,100,30,5.1,218,36.8,273,46.1,65,11,6,1
Birmingham 134E,E01033640,898,100,94,10.5,226,25.2,467,52,88,9.8,23,2.6
Birmingham 135B,E01033567,635,100,4,0.6,152,23.9,378,59.5,90,14.2,11,1.7
Birmingham 135C,E01033615,483,100,12,2.5,131,27.1,276,57.1,51,10.6,13,2.7
Birmingham 135D,E01033616,760,100,16,2.1,265,34.9,420,55.3,52,6.8,7,0.9
Birmingham 135E,E01034946,586,100,8,1.4,188,32.1,344,58.7,41,7,5,0.9
Birmingham 135F,E01034947,698,100,115,16.5,142,20.3,258,37,148,21.2,35,5
Birmingham 136A,E01009143,748,100,80,10.7,144,19.3,369,49.3,128,17.1,27,3.6
Birmingham 136B,E01009146,1047,100,45,4.3,182,17.4,672,64.2,131,12.5,17,1.6
Birmingham 136C,E01033564,720,100,22,3.1,159,22.1,376,52.2,157,21.8,6,0.8
Birmingham 136E,E01034948,907,100,75,8.3,202,22.3,535,59,77,8.5,18,2
Birmingham 136F,E01034949,739,100,36,4.9,140,18.9,471,63.7,76,10.3,16,2.2
Birmingham 137A,E01009141,812,100,96,11.8,200,24.6,330,40.6,151,18.6,35,4.3
Birmingham 137B,E01033565,873,100,22,2.5,255,29.2,555,63.6,40,4.6,1,0.1
Birmingham 137C,E01033618,759,100,55,7.2,244,32.1,371,48.9,83,10.9,6,0.8
Birmingham 137E,E01033627,507,100,57,11.2,153,30.2,222,43.8,55,10.8,20,3.9
Birmingham 137F,E01034950,702,100,19,2.7,204,29.1,391,55.7,87,12.4,1,0.1
Birmingham 137G,E01034951,599,100,53,8.8,247,41.2,252,42.1,41,6.8,6,1
Birmingham 138A,E01033620,738,100,13,1.8,143,19.4,471,63.8,105,14.2,6,0.8
Birmingham 138B,E01033622,1160,100,9,0.8,366,31.6,659,56.8,117,10.1,9,0.8
Birmingham 138C,E01033623,1067,100,66,6.2,191,17.9,704,66,104,9.7,2,0.2
Birmingham 138D,E01033625,1100,100,23,2.1,319,29,703,63.9,50,4.5,5,0.5
Birmingham 139A,E01009200,607,100,107,17.6,127,20.9,214,35.3,106,17.5,53,8.7
Birmingham 139B,E01009327,412,100,129,31.3,96,23.3,96,23.3,53,12.9,38,9.2
Birmingham 139C,E01009328,510,100,149,29.2,99,19.4,102,20,76,14.9,84,16.5
Birmingham 139D,E01009331,580,100,185,31.9,124,21.4,129,22.2,76,13.1,66,11.4
Birmingham 139E,E01009332,593,100,150,25.3,134,22.6,195,32.9,73,12.3,41,6.9
Birmingham 139F,E01009333,401,100,156,38.9,99,24.7,80,20,38,9.5,28,7
Birmingham 139G,E01009335,485,100,177,36.5,107,22.1,99,20.4,57,11.8,45,9.3
Birmingham 139H,E01009344,467,100,131,28.1,94,20.1,126,27,67,14.3,49,10.5
Birmingham 141A,E01009008,600,100,349,58.2,140,23.3,96,16,13,2.2,2,0.3
Birmingham 141B,E01009011,790,100,387,49,197,24.9,187,23.7,18,2.3,1,0.1
Birmingham 141C,E01009012,607,100,351,57.8,160,26.4,69,11.4,24,4,3,0.5
Birmingham 141D,E01009104,622,100,197,31.7,159,25.6,199,32,55,8.8,12,1.9
Birmingham 141E,E01009102,646,100,272,42.1,176,27.2,152,23.5,34,5.3,12,1.9
Birmingham 141F,E01009080,402,100,106,26.4,95,23.6,124,30.8,58,14.4,19,4.7
Birmingham 141G,E01009079,489,100,171,35,113,23.1,127,26,63,12.9,15,3.1
Birmingham 141H,E01009081,559,100,147,26.3,159,28.4,201,36,36,6.4,16,2.9
Birmingham 141I,E01009083,547,100,201,36.7,97,17.7,169,30.9,60,11,20,3.7
Birmingham 142A,E01009339,475,100,166,34.9,99,20.8,124,26.1,65,13.7,21,4.4
Birmingham 142B,E01034952,407,100,135,33.2,107,26.3,99,24.3,43,10.6,23,5.7
Birmingham 142C,E01034953,408,100,144,35.3,113,27.7,68,16.7,56,13.7,27,6.6
Birmingham 142D,E01009382,465,100,128,27.5,114,24.5,100,21.5,76,16.3,47,10.1
Birmingham 142E,E01009392,418,100,170,40.7,96,23,67,16,62,14.8,23,5.5
Birmingham 143A,E01034954,509,100,222,43.6,113,22.2,114,22.4,31,6.1,29,5.7
Birmingham 143B,E01034955,570,100,227,39.8,138,24.2,116,20.4,61,10.7,28,4.9
Birmingham 143C,E01009391,516,100,189,36.6,132,25.6,97,18.8,65,12.6,33,6.4
Birmingham 143D,E01009393,482,100,179,37.1,105,21.8,111,23,47,9.8,40,8.3