Count,Geog_Code,Total: All households,% Total: All households,Occupancy rating of rooms: +2 or more,% Occupancy rating of rooms: +2 or more,Occupancy rating of rooms: +1,% Occupancy rating of rooms: +1,Occupancy rating of rooms: 0,% Occupancy rating of rooms: 0,Occupancy rating of rooms: -1,% Occupancy rating of rooms: -1,Occupancy rating of rooms: -2 or less,% Occupancy rating of rooms: -2 or less
Birmingham 001,E02001827,2634,100,1552,58.9,621,23.6,403,15.3,48,1.8,10,0.4
Birmingham 002,E02001828,3128,100,1631,52.1,927,29.6,502,16,55,1.8,13,0.4
Birmingham 003,E02001829,3570,100,2507,70.2,730,20.4,283,7.9,43,1.2,7,0.2
Birmingham 004,E02001830,3988,100,2821,70.7,671,16.8,412,10.3,78,2,6,0.2
Birmingham 005,E02001831,4493,100,1947,43.3,1157,25.8,1114,24.8,241,5.4,34,0.8
Birmingham 006,E02001832,3433,100,2048,59.7,731,21.3,575,16.7,73,2.1,6,0.2
Birmingham 007,E02001833,2291,100,1481,64.6,499,21.8,247,10.8,56,2.4,8,0.3
Birmingham 008,E02001834,2407,100,1004,41.7,703,29.2,525,21.8,141,5.9,34,1.4
Birmingham 009,E02001835,3655,100,1957,53.5,944,25.8,643,17.6,104,2.8,7,0.2
Birmingham 010,E02001836,3703,100,2641,71.3,578,15.6,421,11.4,52,1.4,11,0.3
Birmingham 011,E02001837,4037,100,1462,36.2,1028,25.5,1138,28.2,330,8.2,79,2
Birmingham 012,E02001838,3169,100,2103,66.4,711,22.4,311,9.8,41,1.3,3,0.1
Birmingham 013,E02001839,2823,100,1259,44.6,822,29.1,609,21.6,111,3.9,22,0.8
Birmingham 014,E02001840,3808,100,1216,31.9,1015,26.7,1224,32.1,295,7.7,58,1.5
Birmingham 015,E02001841,2377,100,1771,74.5,439,18.5,138,5.8,23,1,6,0.3
Birmingham 016,E02001842,3181,100,2017,63.4,740,23.3,317,10,74,2.3,33,1
Birmingham 017,E02001843,2839,100,1388,48.9,842,29.7,444,15.6,138,4.9,27,1
Birmingham 018,E02001844,4435,100,2215,49.9,1113,25.1,966,21.8,123,2.8,18,0.4
Birmingham 019,E02001845,2724,100,1723,63.3,634,23.3,312,11.5,47,1.7,8,0.3
Birmingham 020,E02001846,3292,100,1298,39.4,854,25.9,901,27.4,181,5.5,58,1.8
Birmingham 021,E02001847,2352,100,1434,61,570,24.2,290,12.3,47,2,11,0.5
Birmingham 022,E02001848,2596,100,1013,39,661,25.5,614,23.7,243,9.4,65,2.5
Birmingham 023,E02001849,3723,100,1168,31.4,896,24.1,1166,31.3,432,11.6,61,1.6
Birmingham 024,E02001850,3032,100,1692,55.8,686,22.6,453,14.9,155,5.1,46,1.5
Birmingham 025,E02001851,3851,100,1697,44.1,1103,28.6,838,21.8,172,4.5,41,1.1
Birmingham 026,E02001852,2853,100,1390,48.7,613,21.5,619,21.7,188,6.6,43,1.5
Birmingham 029,E02001855,4211,100,1270,30.2,1435,34.1,1270,30.2,204,4.8,32,0.8
Birmingham 030,E02001856,3610,100,1473,40.8,1057,29.3,757,21,246,6.8,77,2.1
Birmingham 031,E02001857,5575,100,1869,33.5,1297,23.3,1783,32,502,9,124,2.2
Birmingham 032,E02001858,3234,100,1025,31.7,647,20,1013,31.3,448,13.9,101,3.1
Birmingham 033,E02001859,2934,100,959,32.7,737,25.1,695,23.7,331,11.3,212,7.2
Birmingham 034,E02001860,2736,100,1230,45,675,24.7,554,20.2,196,7.2,81,3
Birmingham 035,E02001861,3480,100,1109,31.9,752,21.6,1023,29.4,410,11.8,186,5.3
Birmingham 036,E02001862,3233,100,1254,38.8,837,25.9,760,23.5,273,8.4,109,3.4
Birmingham 037,E02001863,2443,100,695,28.4,512,21,750,30.7,290,11.9,196,8
Birmingham 039,E02001865,3375,100,1333,39.5,785,23.3,698,20.7,349,10.3,210,6.2
Birmingham 040,E02001866,2810,100,812,28.9,533,19,930,33.1,335,11.9,200,7.1
Birmingham 041,E02001867,2590,100,543,21,537,20.7,865,33.4,412,15.9,233,9
Birmingham 042,E02001868,2629,100,1228,46.7,618,23.5,436,16.6,219,8.3,128,4.9
Birmingham 043,E02001869,2487,100,388,15.6,540,21.7,988,39.7,424,17,147,5.9
Birmingham 044,E02001870,3594,100,1104,30.7,907,25.2,856,23.8,463,12.9,264,7.3
Birmingham 045,E02001871,3559,100,887,24.9,1132,31.8,1137,31.9,346,9.7,57,1.6
Birmingham 046,E02001872,3083,100,724,23.5,1034,33.5,937,30.4,336,10.9,52,1.7
Birmingham 047,E02001873,3983,100,1134,28.5,1097,27.5,1139,28.6,437,11,176,4.4
Birmingham 048,E02001874,2683,100,629,23.4,565,21.1,768,28.6,440,16.4,281,10.5
Birmingham 049,E02001875,3291,100,451,13.7,861,26.2,1327,40.3,480,14.6,172,5.2
Birmingham 050,E02001876,3666,100,313,8.5,693,18.9,1833,50,611,16.7,216,5.9
Birmingham 051,E02001877,3154,100,727,23.1,659,20.9,905,28.7,498,15.8,365,11.6
Birmingham 052,E02001878,2709,100,676,25,637,23.5,785,29,396,14.6,215,7.9
Birmingham 053,E02001879,3050,100,1066,35,645,21.1,810,26.6,377,12.4,152,5
Birmingham 054,E02001880,3433,100,913,26.6,961,28,1042,30.4,377,11,140,4.1
Birmingham 055,E02001881,2893,100,788,27.2,599,20.7,825,28.5,400,13.8,281,9.7
Birmingham 056,E02001882,3161,100,1052,33.3,770,24.4,927,29.3,310,9.8,102,3.2
Birmingham 057,E02001883,3626,100,780,21.5,1080,29.8,1307,36,371,10.2,88,2.4
Birmingham 058,E02001884,2482,100,757,30.5,587,23.7,527,21.2,360,14.5,251,10.1
Birmingham 060,E02001886,3472,100,1649,47.5,620,17.9,759,21.9,336,9.7,108,3.1
Birmingham 062,E02001888,2548,100,898,35.2,760,29.8,640,25.1,192,7.5,58,2.3
Birmingham 063,E02001889,2242,100,654,29.2,497,22.2,579,25.8,293,13.1,219,9.8
Birmingham 064,E02001890,4407,100,1314,29.8,969,22,1489,33.8,553,12.5,82,1.9
Birmingham 066,E02001892,3468,100,860,24.8,794,22.9,1125,32.4,459,13.2,230,6.6
Birmingham 067,E02001893,3159,100,1404,44.4,788,24.9,681,21.6,202,6.4,84,2.7
Birmingham 069,E02001895,3536,100,1196,33.8,961,27.2,1030,29.1,278,7.9,71,2
Birmingham 070,E02001896,2572,100,823,32,573,22.3,611,23.8,340,13.2,225,8.7
Birmingham 071,E02001897,2888,100,471,16.3,575,19.9,1161,40.2,457,15.8,224,7.8
Birmingham 072,E02001898,2633,100,1626,61.8,588,22.3,339,12.9,61,2.3,19,0.7
Birmingham 073,E02001899,3548,100,2168,61.1,744,21,530,14.9,84,2.4,22,0.6
Birmingham 074,E02001900,2739,100,888,32.4,664,24.2,909,33.2,240,8.8,38,1.4
Birmingham 075,E02001901,3750,100,1901,50.7,992,26.5,736,19.6,99,2.6,22,0.6
Birmingham 076,E02001902,2462,100,1414,57.4,580,23.6,365,14.8,86,3.5,17,0.7
Birmingham 077,E02001903,2119,100,606,28.6,438,20.7,557,26.3,321,15.1,197,9.3
Birmingham 078,E02001904,2623,100,1023,39,662,25.2,624,23.8,222,8.5,92,3.5
Birmingham 079,E02001905,2651,100,1182,44.6,690,26,637,24,110,4.1,32,1.2
Birmingham 080,E02001906,3876,100,2230,57.5,896,23.1,555,14.3,162,4.2,33,0.9
Birmingham 081,E02001907,4394,100,1979,45,1270,28.9,878,20,223,5.1,44,1
Birmingham 082,E02001908,2211,100,700,31.7,506,22.9,491,22.2,286,12.9,228,10.3
Birmingham 083,E02001909,2370,100,622,26.2,535,22.6,696,29.4,304,12.8,213,9
Birmingham 084,E02001910,2342,100,547,23.4,472,20.2,843,36,306,13.1,174,7.4
Birmingham 085,E02001911,3532,100,1132,32,866,24.5,1134,32.1,313,8.9,87,2.5
Birmingham 087,E02001913,3175,100,1090,34.3,808,25.4,971,30.6,258,8.1,48,1.5
Birmingham 088,E02001914,2313,100,1083,46.8,510,22,497,21.5,145,6.3,78,3.4
Birmingham 089,E02001915,4919,100,1987,40.4,1270,25.8,1266,25.7,329,6.7,67,1.4
Birmingham 090,E02001916,3378,100,1213,35.9,884,26.2,797,23.6,355,10.5,129,3.8
Birmingham 092,E02001918,3976,100,1361,34.2,828,20.8,1453,36.5,287,7.2,47,1.2
Birmingham 093,E02001919,2620,100,839,32,584,22.3,861,32.9,265,10.1,71,2.7
Birmingham 094,E02001920,3236,100,1005,31.1,739,22.8,1112,34.4,297,9.2,83,2.6
Birmingham 095,E02001921,3179,100,1275,40.1,859,27,808,25.4,188,5.9,49,1.5
Birmingham 096,E02001922,3500,100,848,24.2,699,20,1091,31.2,761,21.7,101,2.9
Birmingham 097,E02001923,3366,100,1370,40.7,726,21.6,819,24.3,293,8.7,158,4.7
Birmingham 098,E02001924,2503,100,1072,42.8,646,25.8,597,23.9,139,5.6,49,2
Birmingham 099,E02001925,2835,100,1485,52.4,632,22.3,575,20.3,121,4.3,22,0.8
Birmingham 100,E02001926,3092,100,1650,53.4,707,22.9,583,18.9,127,4.1,25,0.8
Birmingham 101,E02001927,3013,100,1062,35.2,863,28.6,801,26.6,232,7.7,55,1.8
Birmingham 102,E02001928,3001,100,872,29.1,821,27.4,1026,34.2,233,7.8,49,1.6
Birmingham 103,E02001929,3729,100,1097,29.4,1063,28.5,1103,29.6,341,9.1,125,3.4
Birmingham 104,E02001930,3209,100,1983,61.8,609,19,478,14.9,103,3.2,36,1.1
Birmingham 105,E02001931,3168,100,1605,50.7,723,22.8,610,19.3,166,5.2,64,2
Birmingham 106,E02001932,3073,100,909,29.6,920,29.9,980,31.9,224,7.3,40,1.3
Birmingham 107,E02001933,3151,100,1499,47.6,809,25.7,625,19.8,170,5.4,48,1.5
Birmingham 108,E02001934,2291,100,1263,55.1,522,22.8,333,14.5,125,5.5,48,2.1
Birmingham 109,E02001935,3280,100,1737,53,800,24.4,596,18.2,112,3.4,35,1.1
Birmingham 110,E02001936,2553,100,1538,60.2,538,21.1,377,14.8,87,3.4,13,0.5
Birmingham 111,E02001937,3261,100,1146,35.1,874,26.8,920,28.2,261,8,60,1.8
Birmingham 112,E02001938,3514,100,1969,56,768,21.9,622,17.7,138,3.9,17,0.5
Birmingham 113,E02001939,3102,100,977,31.5,944,30.4,1000,32.2,162,5.2,19,0.6
Birmingham 115,E02001941,2521,100,951,37.7,664,26.3,677,26.9,177,7,52,2.1
Birmingham 116,E02001942,3003,100,1296,43.2,746,24.8,743,24.7,201,6.7,17,0.6
Birmingham 117,E02001943,2639,100,1172,44.4,777,29.4,532,20.2,125,4.7,33,1.3
Birmingham 118,E02001944,3408,100,1611,47.3,1006,29.5,658,19.3,110,3.2,23,0.7
Birmingham 119,E02001945,3053,100,1040,34.1,858,28.1,855,28,247,8.1,53,1.7
Birmingham 120,E02001946,3205,100,1901,59.3,704,22,479,14.9,109,3.4,12,0.4
Birmingham 121,E02001947,2661,100,754,28.3,603,22.7,994,37.4,250,9.4,60,2.3
Birmingham 122,E02001948,3050,100,1531,50.2,797,26.1,588,19.3,103,3.4,31,1
Birmingham 123,E02001949,2651,100,1092,41.2,798,30.1,596,22.5,138,5.2,27,1
Birmingham 124,E02001950,3705,100,2049,55.3,907,24.5,599,16.2,134,3.6,16,0.4
Birmingham 125,E02001951,3917,100,1077,27.5,1091,27.9,1373,35.1,313,8,63,1.6
Birmingham 126,E02001952,4103,100,960,23.4,1258,30.7,1495,36.4,343,8.4,47,1.1
Birmingham 127,E02001953,2922,100,1618,55.4,647,22.1,530,18.1,100,3.4,27,0.9
Birmingham 128,E02001954,3258,100,1014,31.1,780,23.9,1161,35.6,260,8,43,1.3
Birmingham 129,E02001955,3536,100,1255,35.5,1065,30.1,978,27.7,208,5.9,30,0.8
Birmingham 130,E02001956,2853,100,1237,43.4,828,29,641,22.5,126,4.4,21,0.7
Birmingham 131,E02001957,3347,100,1596,47.7,1064,31.8,520,15.5,141,4.2,26,0.8
Birmingham 132,E02006807,3029,100,1882,62.1,687,22.7,350,11.6,84,2.8,26,0.9
Birmingham 133,E02006809,3142,100,1687,53.7,708,22.5,477,15.2,196,6.2,74,2.4
Birmingham 134,E02006895,4161,100,284,6.8,1230,29.6,2165,52,417,10,65,1.6
Birmingham 135,E02006896,3157,100,154,4.9,878,27.8,1676,53.1,381,12.1,68,2.2
Birmingham 136,E02006897,4160,100,258,6.2,827,19.9,2423,58.2,569,13.7,83,2
Birmingham 137,E02006898,4251,100,302,7.1,1303,30.7,2121,49.9,460,10.8,65,1.5
Birmingham 138,E02006899,4066,100,112,2.8,1019,25.1,2537,62.4,376,9.2,22,0.5
Birmingham 139,E02006900,4055,100,1185,29.2,879,21.7,1039,25.6,549,13.5,403,9.9
Birmingham 141,E02007038,5264,100,2180,41.4,1295,24.6,1325,25.2,361,6.9,103,2
Birmingham 142,E02007039,2171,100,741,34.1,529,24.4,458,21.1,301,13.9,142,6.5
Birmingham 143,E02007040,2078,100,820,39.5,488,23.5,439,21.1,201,9.7,130,6.3