"Code","White_British","Low_Occupancy","Unemployed","Qualification"
"E01008881",29.6,8.6,5.2,25.9
"E01008882",25.6,11.3,4.7,18.8
"E01008883",26.9,9,7,22.4
"E01008884",21,6.2,6.8,18.6
"E01008885",56.5,2.2,3,25.4
"E01008886",57.6,3,5.9,27.7
"E01008887",41.7,9.9,5.9,19.9
"E01008888",72.3,1.4,3.5,23.3
"E01008889",38,9.5,5.2,25.9
"E01008890",39.9,10.5,4.3,28.8
"E01008891",70.2,3.5,3.1,25.3
"E01008892",31.2,8.8,6,24.2
"E01008893",51.1,8.1,5,32.6
"E01008894",48.4,7.3,5.8,30.6
"E01008895",59.9,3,3.8,30.4
"E01008896",27.3,16.5,4,18
"E01008897",30.7,8.9,5.9,23.4
"E01008898",27.3,12.4,7.3,18
"E01008899",14,11,7.3,14.9
"E01008901",9.9,13.2,7,20.5
"E01008905",1.9,13.1,8.7,17.6
"E01008906",2.2,13.9,8.2,15.4
"E01008907",6.2,10.8,9.5,21.4
"E01008909",6.9,21.4,6.5,21.9
"E01008910",4.6,18.5,9.1,21.6
"E01008911",7.8,20.3,8,18.9
"E01008913",9.8,18.1,8.9,23.5
"E01008915",13.5,7.3,6.8,19.4
"E01008916",5.9,10.5,6.1,19.6
"E01008917",75.4,6.8,3.4,26.8
"E01008918",59.8,12.4,5.3,21.4
"E01008919",58.4,7.7,3.9,32
"E01008920",77.1,3.8,3.4,23
"E01008921",72.2,7.9,4.4,28.6
"E01008923",69.5,11.4,6.5,19.5
"E01008924",72.1,6,3.4,32.4
"E01008925",85,3.3,2.9,24.4
"E01008927",71.3,8,8.5,19.3
"E01008928",64.7,8,5.3,20.7
"E01008929",70.1,9.5,5.4,20.7
"E01008930",64.9,4.1,4.2,35.5
"E01008931",56,10.8,4.7,28
"E01008932",49.7,7.2,4.6,27.7
"E01008933",34.5,6.1,4.8,36.1
"E01008934",31.3,4.2,2.4,42.5
"E01008935",49.7,7.9,6,23.4
"E01008936",48.8,5.8,5.7,36
"E01008937",44.4,5.2,6.2,25.4
"E01008938",48.6,12.3,4.3,22.1
"E01008939",55.3,7.2,3.7,24.5
"E01008940",55.5,7.1,4.8,21.2
"E01008941",55.9,10.4,5.2,23.4
"E01008942",70.6,7.8,4.3,20.5
"E01008943",66.1,5.8,3.8,23.7
"E01008944",68.7,5.9,5.3,29.2
"E01008945",65.3,4.3,3.7,22
"E01008946",75,3.3,4.6,20.3
"E01008947",76.5,4.8,3.4,21.3
"E01008948",82.4,3.1,3.1,22.6
"E01008949",90.4,1.2,1.7,26.6
"E01008950",78.9,6.7,3.7,36.4
"E01008951",80.9,2.5,1.5,48.3
"E01008952",69.6,4.5,3.9,49
"E01008953",55.1,6.1,3.8,33.5
"E01008954",79.4,2.2,2.1,36.3
"E01008955",74.1,3.5,4.3,50.9
"E01008956",79.3,2.7,2.4,51.1
"E01008957",68,5.8,5,36.2
"E01008958",78.4,2.7,3.7,28.5
"E01008959",79.1,2.6,3.4,40.3
"E01008960",80.4,1.3,3.1,56.7
"E01008961",77.7,8.7,3.6,39.9
"E01008962",60.2,12.7,5.2,30
"E01008963",65.3,6.9,4.2,37.8
"E01008964",61.7,4.5,3.4,33.5
"E01008965",63.1,2.4,3.2,46.9
"E01008966",46.9,6.7,6.2,30.1
"E01008967",60,2.2,2.8,46.4
"E01008968",62.7,3.9,3.2,48.4
"E01008969",68,2,4,39.3
"E01008970",53.8,5.5,4.2,35.1
"E01008971",62.3,3.9,3,39.4
"E01008972",61.2,6.6,4.4,24
"E01008973",66.4,4,3.1,32.9
"E01008974",62,2.2,3.2,38.9
"E01008975",83,0.5,2.1,29.4
"E01008976",66.6,6.2,6.1,23
"E01008977",74,5.1,3.9,26.4
"E01008978",53.6,14.8,8.4,15.8
"E01008979",70.8,7.9,5.7,17.3
"E01008980",66.1,9,6.8,15.7
"E01008981",62.9,2,2.4,55.3
"E01008982",29.7,6.8,4.6,58.9
"E01008984",23.9,10.9,8.1,35.1
"E01008986",29,18.8,6.5,53.5
"E01008987",41.6,21,6.9,32.1
"E01008988",32.7,12.9,5,51.2
"E01008989",35.7,12.1,5.8,48.6
"E01008990",38,4.1,3.2,67.2
"E01008991",23.9,2.4,2.2,58.1
"E01008992",48.5,1.3,1.1,47.7
"E01008994",41.4,6.9,5.5,53.4
"E01008995",17.5,10.5,5.8,31.4
"E01008996",11.6,11.3,5.5,28.8
"E01008997",31.5,5.2,5.3,55.9
"E01008998",31.1,7.8,5.8,20.5
"E01008999",27.5,5.2,3.6,30
"E01009000",42.7,11.2,5.5,28
"E01009001",66.7,3.3,3.3,32.9
"E01009002",45.7,11.3,6,25.8
"E01009003",68,5.2,3,31.9
"E01009005",57.7,5.8,3.2,31.7
"E01009006",61.2,3.7,4.9,32.4
"E01009007",49.6,20,6,25.9
"E01009008",62.7,2.2,2.3,28.5
"E01009009",60.9,5.4,3.2,30.6
"E01009011",64,2.3,3.9,23.6
"E01009012",55.4,4,3.5,30
"E01009013",48.5,8.3,6,28.2
"E01009014",15.4,11.7,5.9,27.6
"E01009015",41.8,6.7,5.6,30.2
"E01009016",45.6,7.8,4.6,19.9
"E01009017",9.1,13.5,3.9,25.3
"E01009018",39.1,7.9,4.7,26.5
"E01009019",42.6,8.5,6.9,21.7
"E01009020",43.4,9,5.9,21.2
"E01009021",51.7,9.7,5.6,23
"E01009022",30.9,5.4,5,29.8
"E01009023",32.7,3.6,3.5,35.4
"E01009024",43.2,11.4,4.2,23
"E01009025",46.2,7.4,4.7,21.3
"E01009026",28.3,10.1,5.4,24.5
"E01009028",32.4,12.1,6,20.6
"E01009029",31.7,11.3,6.1,23.6
"E01009030",21.6,4.8,3.3,39.8
"E01009031",32.5,4.8,3.8,39.5
"E01009032",27.2,5.8,4,35.1
"E01009033",39.1,8.9,5.9,22.7
"E01009034",25.7,5.4,2.6,38.5
"E01009035",30.8,6,2.4,32.7
"E01009036",32.1,4.8,2.8,35.4
"E01009037",47.8,4.4,3.2,37
"E01009039",43.4,2.9,3.3,38.3
"E01009040",41.4,3.1,2.5,41.7
"E01009041",53.6,3.5,1.8,33.7
"E01009042",68.8,2.1,2,33.3
"E01009043",16.7,7.3,4.1,28.6
"E01009044",7.7,8.4,4.4,22.7
"E01009045",20,7.7,3.9,32.1
"E01009046",27,5.3,3.4,37.4
"E01009047",5.4,11.1,9.4,16.9
"E01009048",7.8,12,8.6,22
"E01009049",7.5,6.4,6.4,30.2
"E01009050",6,7.7,6.5,28.8
"E01009051",5.8,9,5.5,21.6
"E01009053",4.4,12.4,5.7,16.8
"E01009054",1.9,10.1,4.3,23.3
"E01009056",9.6,11.6,6.3,28.4
"E01009057",5.3,12.6,7.8,20.3
"E01009058",2.9,13,6,20.8
"E01009059",5.3,11.7,6.7,20.6
"E01009060",3.6,11.3,5.4,19.1
"E01009061",1.5,9.4,7.4,20.8
"E01009062",1.6,12.5,8.8,19.3
"E01009064",49.8,5.4,5.5,33.6
"E01009065",60.1,1.7,2.1,68.1
"E01009066",44.8,1.6,1.9,53.7
"E01009067",71.4,2.2,2.3,66.8
"E01009068",59.6,2.8,2.3,66
"E01009069",64.2,3.5,2.7,62.8
"E01009070",63.2,5,2.6,55.4
"E01009071",57.8,10.6,3.7,51.7
"E01009072",62.8,2.7,3.1,59.6
"E01009073",36.9,16.1,7.2,22.1
"E01009074",36.9,10.9,7,27.7
"E01009075",44.3,7.2,6.6,39.7
"E01009077",51.9,2.8,3.2,46.5
"E01009078",45.6,7,4.1,45.5
"E01009079",40.8,12.9,7.1,21.9
"E01009080",35.2,14.4,6.5,18.1
"E01009081",37.3,6.4,6,18.2
"E01009082",40.3,8.5,4.4,21.6
"E01009083",31.9,11,5.8,24.4
"E01009084",17.5,8.1,4.2,26.8
"E01009085",9.5,12.1,5.2,26.5
"E01009086",18.2,8.3,4.2,23.9
"E01009087",29.1,6.2,5.7,27
"E01009088",54.6,3.9,3.8,22.1
"E01009089",19,7.1,4.3,27.5
"E01009090",11.1,8.5,4,24.5
"E01009091",56.8,7.3,4.3,22.7
"E01009092",44,12.4,7.6,20.8
"E01009093",49.9,13.6,4.7,18.8
"E01009094",36.6,10.1,5.5,21.8
"E01009095",28.4,5.3,3.7,26.9
"E01009096",74.1,5.4,5.5,18
"E01009097",72.8,5.1,6,15.1
"E01009098",64.6,3.6,4.1,23.9
"E01009099",71.4,5.9,7.3,16.1
"E01009100",58.6,3.7,3.8,26.1
"E01009101",78.8,3.8,4.4,16.4
"E01009102",52.6,5.3,5.2,20.5
"E01009103",74.7,4.5,5.5,16.4
"E01009104",47.8,8.8,6,23.5
"E01009105",69.3,4.2,3.3,27.4
"E01009106",84.8,3.8,4.5,16.9
"E01009107",60.3,11.4,4.6,22.8
"E01009108",76.1,1.6,2.9,35.8
"E01009109",61,11.6,8.1,26.2
"E01009110",76.7,8.6,5.9,23.3
"E01009111",75.6,4.5,4.2,27.9
"E01009112",82.1,2.8,4,23.4
"E01009113",63.8,7.2,6.7,25
"E01009114",75.2,4.8,4.9,19.2
"E01009115",76,8.2,4.4,19.7
"E01009116",80.2,1.1,1.1,49.6
"E01009117",60,9.1,6.4,20.5
"E01009118",79.4,6.2,4.2,24.6
"E01009119",75.1,2.7,3.8,36.2
"E01009120",72.2,3.2,3.3,29.6
"E01009122",66,7.4,4.6,18
"E01009123",42.6,7.2,5.4,23.7
"E01009124",32.7,17.4,8.5,20.2
"E01009125",41.1,7.7,5.4,18.1
"E01009126",46.9,2,3.5,25.3
"E01009127",58.4,7.5,6.1,18.7
"E01009128",71.9,8,6,18.6
"E01009129",60.8,7.6,7.4,19.6
"E01009130",70.8,9.6,5.4,17
"E01009131",66.6,10.1,4.6,17.2
"E01009132",65.6,9.2,5,17.5
"E01009133",65.2,6.3,5.6,18.5
"E01009134",65.4,6.9,5.5,19.4
"E01009135",61.3,0.8,1.9,37.3
"E01009136",62.3,7.1,4.3,23
"E01009137",59.8,9,8.8,19.6
"E01009138",11.4,5,5,39.8
"E01009139",25.7,7.7,4.8,39
"E01009140",22.1,9.2,3.9,45.7
"E01009141",16.2,18.6,9.2,27.6
"E01009143",17,17.1,8.4,23.1
"E01009145",17.2,11.2,5.8,45.6
"E01009146",31.3,12.5,7.1,38.3
"E01009147",31.4,15.1,5.1,37.4
"E01009151",7,10.1,5.2,24.2
"E01009152",7.8,18.2,7,25.2
"E01009153",20.8,11,8.2,31.5
"E01009155",80,7,5.9,12.7
"E01009157",78.1,8.3,4.1,16.1
"E01009158",76.2,4.8,3.9,26.7
"E01009159",76.6,3.3,2.9,32.9
"E01009160",71.7,10.1,10.4,17.6
"E01009161",84.4,7.9,3.2,19.3
"E01009162",72.1,3.3,3.8,27
"E01009164",85.3,5.1,3.2,24.4
"E01009165",76.9,13.8,5.5,23.6
"E01009166",81.3,5.7,4.7,27.9
"E01009167",83.9,3.6,4.4,24
"E01009168",88.6,3.2,2.1,24.2
"E01009169",87.7,2.6,3.9,25.5
"E01009170",90.5,3.8,2.4,24.5
"E01009171",85,5.7,4.2,26
"E01009172",69.5,6.6,5,22.6
"E01009173",68.2,9.9,5.1,24
"E01009174",82,7.5,4.2,16.5
"E01009175",62.3,2.9,3.3,55.3
"E01009176",34.2,6.8,4.3,40.3
"E01009177",57.2,3.2,4.1,53.7
"E01009178",59.1,4,3.5,50.7
"E01009179",54.9,2.5,3.5,48.1
"E01009182",25.9,14,5.6,35.1
"E01009183",34.6,1.9,2.4,64
"E01009184",57.3,5.8,3.9,58.6
"E01009185",48.4,6.8,3.6,52.6
"E01009186",48,2.3,3.8,55.3
"E01009187",65.7,3.4,3.9,59.8
"E01009188",62.8,5.9,3.2,57.5
"E01009189",60.4,3.4,2.7,58.9
"E01009192",1.2,13.9,6,20.2
"E01009195",4.9,17.4,6.5,18.1
"E01009197",6.5,10.9,6.3,22.8
"E01009199",13.6,14.5,6.8,33.8
"E01009200",11.1,17.5,5.9,29.5
"E01009201",20.4,17.3,8,19.8
"E01009202",15,14.8,5.7,22.3
"E01009204",14.4,15.1,6.9,22
"E01009205",81.2,2.3,2.9,37.6
"E01009206",79.6,2.6,2.8,33.6
"E01009207",82.6,1.7,2.3,30.6
"E01009208",81.4,2.6,1.9,30.8
"E01009209",77.1,5,3.2,26.6
"E01009210",78.5,7.2,5,25.6
"E01009211",81.3,6.3,3.7,30
"E01009212",74.1,9.1,5.1,19.5
"E01009213",76.7,5,3.9,22.5
"E01009214",76.8,8.4,5.3,19.8
"E01009215",70.9,8.1,7.1,21.2
"E01009216",76,5,3.7,24.4
"E01009217",90.4,3.3,1.9,24.1
"E01009218",77.6,1.2,1.6,47
"E01009219",70.1,4.4,3.4,29.5
"E01009220",73.9,6.8,3.7,21.1
"E01009221",74.5,5.9,3.4,21.9
"E01009222",69.9,6.5,5.2,21.5
"E01009223",70.3,3.5,3.4,23.7
"E01009224",76.2,1.9,3.1,21.9
"E01009225",69.6,5.8,4.3,19.6
"E01009226",71.5,5.2,4.6,23.6
"E01009227",64.4,3,3.4,23.3
"E01009228",71.1,3.4,3.4,24.6
"E01009229",65.6,3.5,3.5,21.5
"E01009230",70.9,8.3,4.3,20.2
"E01009231",61.8,2.4,3.6,21.3
"E01009232",49.8,3.7,4.1,25.9
"E01009233",80.2,8.1,5.1,18.8
"E01009234",64.7,1,3,24.8
"E01009235",38.3,3.3,3.9,30.9
"E01009236",51.8,1.2,4.2,27.3
"E01009237",31.4,5.9,5.2,28.1
"E01009238",33.4,5.4,3.7,29.7
"E01009239",25,13.4,5.7,26.7
"E01009240",29.6,2.4,4.7,33.4
"E01009241",19.3,3,4.5,32.4
"E01009242",12.7,8.8,5.2,30.4
"E01009243",49.7,3.1,2.6,31.2
"E01009244",59.5,2.9,4.2,30.4
"E01009245",43.8,2.5,2.1,29.2
"E01009246",53.1,1.4,4.4,30.2
