"wz11cd","lsoa11cd","msoa11cd","date","Length of Residence in UK: All categories: Length of residence in the UK; measures: Value","Length of Residence in UK: Born in the UK; measures: Value","Length of Residence in UK: Resident in UK: Less than 2 years; measures: Value","Length of Residence in UK: Resident in UK: 2 years or more but less than 5 years; measures: Value","Length of Residence in UK: Resident in UK: 5 years or more but less than 10 years; measures: Value","Length of Residence in UK: Resident in UK: 10 years or more; measures: Value"
"E33019946","E01033631","E02001905",2011,576,495,9,10,8,54
"E33019947","E01009143","E02006897",2011,601,556,1,3,10,31
"E33019948","E01009143","E02006897",2011,447,293,12,15,41,86
"E33019949","E01009143","E02006897",2011,1166,996,14,23,42,91
"E33019950","E01033565","E02006898",2011,1072,933,18,15,32,74
"E33019951","E01033620","E02006899",2011,559,510,5,5,6,33
"E33019952","E01033620","E02006899",2011,350,278,13,6,24,29
"E33019953","E01033620","E02006899",2011,359,266,10,28,23,32
"E33019954","E01009342","E02001889",2011,1441,1200,4,16,70,151
"E33019955","E01033622","E02006899",2011,443,388,9,8,8,30
"E33019956","E01033623","E02006899",2011,212,185,4,8,5,10
"E33019957","E01009239","E02001859",2011,1563,1334,16,16,56,141
"E33019958","E01009239","E02001859",2011,698,569,5,34,35,55
"E33019959","E01009239","E02001859",2011,535,449,4,8,13,61
"E33019960","E01008914","E02001876",2011,248,211,3,7,8,19
"E33019961","E01008914","E02001876",2011,215,158,4,4,8,41
"E33019962","E01008914","E02001876",2011,246,205,5,2,8,26
"E33019963","E01008914","E02001876",2011,227,213,0,2,4,8
"E33019964","E01008914","E02001876",2011,224,198,1,3,7,15
"E33019965","E01008914","E02001876",2011,444,375,2,9,12,46
"E33019966","E01009418","E02001827",2011,284,261,1,3,5,14
"E33019966","E01009433","E02001827",2011,284,261,1,3,5,14
"E33019967","E01009418","E02001827",2011,635,581,3,4,7,40
"E33019967","E01009433","E02001827",2011,635,581,3,4,7,40
"E33019967","E01009419","E02001827",2011,635,581,3,4,7,40
"E33019967","E01009417","E02001827",2011,635,581,3,4,7,40
"E33019968","E01009415","E02001828",2011,258,242,0,3,3,10
"E33019968","E01009423","E02001828",2011,258,242,0,3,3,10
"E33019969","E01009423","E02001828",2011,437,408,1,5,4,19
"E33019969","E01009425","E02001828",2011,437,408,1,5,4,19
"E33019970","E01009425","E02001828",2011,420,399,6,5,2,8
"E33019970","E01009415","E02001828",2011,420,399,6,5,2,8
"E33019970","E01009422","E02001828",2011,420,399,6,5,2,8
"E33019971","E01009425","E02001828",2011,475,440,2,6,11,16
"E33019972","E01009422","E02001828",2011,496,466,3,6,4,17
"E33019972","E01009425","E02001828",2011,496,466,3,6,4,17
"E33019973","E01009420","E02001829",2011,364,346,0,1,1,16
"E33019973","E01009426","E02001829",2011,364,346,0,1,1,16
"E33019973","E01009416","E02001829",2011,364,346,0,1,1,16
"E33019974","E01009416","E02001829",2011,324,305,2,1,1,15
"E33019975","E01009431","E02001829",2011,367,335,1,3,4,24
"E33019975","E01009429","E02001829",2011,367,335,1,3,4,24
"E33019975","E01009426","E02001829",2011,367,335,1,3,4,24
"E33019976","E01009431","E02001829",2011,412,383,2,5,6,16
"E33019976","E01009426","E02001829",2011,412,383,2,5,6,16
"E33019976","E01009429","E02001829",2011,412,383,2,5,6,16
"E33019977","E01009424","E02001830",2011,421,387,2,1,4,27
"E33019977","E01009421","E02001830",2011,421,387,2,1,4,27
"E33019978","E01009424","E02001830",2011,338,305,2,3,7,21
"E33019979","E01009424","E02001830",2011,230,201,0,5,12,12
"E33019979","E01009430","E02001830",2011,230,201,0,5,12,12
"E33019980","E01009427","E02001830",2011,333,312,0,1,1,19
"E33019980","E01009430","E02001830",2011,333,312,0,1,1,19
"E33019981","E01009430","E02001830",2011,281,248,1,2,6,24
"E33019981","E01009427","E02001830",2011,281,248,1,2,6,24
"E33019982","E01009468","E02001830",2011,278,237,4,2,10,25
"E33019983","E01009424","E02001830",2011,349,314,4,2,6,23
"E33019984","E01009424","E02001830",2011,914,805,7,14,18,70
"E33019984","E01009428","E02001830",2011,914,805,7,14,18,70
"E33019985","E01009448","E02001831",2011,321,302,0,2,5,12
"E33019985","E01009445","E02001831",2011,321,302,0,2,5,12
"E33019986","E01009447","E02001831",2011,262,238,1,2,9,12
"E33019986","E01009446","E02001831",2011,262,238,1,2,9,12
"E33019987","E01009447","E02001831",2011,704,651,0,3,9,41
"E33019987","E01009445","E02001831",2011,704,651,0,3,9,41
"E33019987","E01009446","E02001831",2011,704,651,0,3,9,41
"E33019988","E01009452","E02001831",2011,364,336,1,1,3,23
"E33019988","E01009455","E02001831",2011,364,336,1,1,3,23
"E33019989","E01009447","E02001831",2011,534,494,1,5,14,20
"E33019989","E01009452","E02001831",2011,534,494,1,5,14,20
"E33019989","E01009448","E02001831",2011,534,494,1,5,14,20
"E33019990","E01009437","E02001832",2011,213,197,0,2,6,8
"E33019991","E01009444","E02001832",2011,370,347,1,0,7,15
"E33019992","E01009454","E02001832",2011,282,262,0,3,1,16
"E33019992","E01009435","E02001832",2011,282,262,0,3,1,16
"E33019993","E01009432","E02001832",2011,3177,2629,31,46,172,299
"E33019994","E01009437","E02001832",2011,381,349,1,2,8,21
"E33019995","E01009435","E02001832",2011,327,294,3,3,4,23
"E33019995","E01009437","E02001832",2011,327,294,3,3,4,23
"E33019996","E01009467","E02001833",2011,329,309,0,0,5,15
"E33019996","E01009465","E02001833",2011,329,309,0,0,5,15
"E33019997","E01009221","E02001833",2011,345,307,1,4,5,28
"E33019998","E01009464","E02001833",2011,292,264,2,4,4,18
"E33019998","E01009465","E02001833",2011,292,264,2,4,4,18
"E33019999","E01009221","E02001833",2011,352,322,0,2,5,23
"E33019999","E01009465","E02001833",2011,352,322,0,2,5,23
"E33020000","E01009220","E02001834",2011,576,540,1,2,4,29
"E33020000","E01009233","E02001834",2011,576,540,1,2,4,29
"E33020000","E01009224","E02001834",2011,576,540,1,2,4,29
"E33020000","E01009222","E02001834",2011,576,540,1,2,4,29
"E33020001","E01009471","E02001835",2011,288,243,4,8,10,23
"E33020002","E01009453","E02001835",2011,566,509,6,4,10,37
"E33020002","E01009449","E02001835",2011,566,509,6,4,10,37
"E33020002","E01009451","E02001835",2011,566,509,6,4,10,37
"E33020003","E01009471","E02001835",2011,272,240,1,4,13,14
"E33020003","E01009466","E02001835",2011,272,240,1,4,13,14
"E33020004","E01009466","E02001835",2011,357,332,0,0,3,22
"E33020005","E01009449","E02001835",2011,506,454,6,7,6,33
"E33020006","E01009451","E02001835",2011,450,401,4,3,9,33
"E33020007","E01009472","E02001836",2011,370,335,0,1,5,29
"E33020007","E01009474","E02001836",2011,370,335,0,1,5,29
"E33020007","E01009470","E02001836",2011,370,335,0,1,5,29
"E33020008","E01009472","E02001836",2011,309,267,1,6,6,29
"E33020008","E01009135","E02001836",2011,309,267,1,6,6,29
"E33020008","E01009473","E02001836",2011,309,267,1,6,6,29
"E33020009","E01009469","E02001836",2011,263,241,0,1,2,19
"E33020009","E01009470","E02001836",2011,263,241,0,1,2,19
"E33020010","E01009474","E02001836",2011,306,290,0,1,4,11
"E33020010","E01009472","E02001836",2011,306,290,0,1,4,11
"E33020011","E01009473","E02001836",2011,1444,1268,13,21,45,97
"E33020011","E01009469","E02001836",2011,1444,1268,13,21,45,97
"E33020012","E01009133","E02001837",2011,654,576,4,7,13,54
"E33020012","E01009134","E02001837",2011,654,576,4,7,13,54
"E33020012","E01009131","E02001837",2011,654,576,4,7,13,54
"E33020012","E01009130","E02001837",2011,654,576,4,7,13,54
"E33020013","E01009128","E02001837",2011,357,292,3,6,18,38
"E33020013","E01009131","E02001837",2011,357,292,3,6,18,38
"E33020013","E01009127","E02001837",2011,357,292,3,6,18,38
"E33020014","E01009137","E02001837",2011,337,290,2,6,6,33
"E33020014","E01009134","E02001837",2011,337,290,2,6,6,33
"E33020015","E01009440","E02001838",2011,383,362,1,1,3,16
"E33020015","E01009436","E02001838",2011,383,362,1,1,3,16
"E33020016","E01009438","E02001838",2011,280,261,0,0,0,19
"E33020016","E01009436","E02001838",2011,280,261,0,0,0,19
"E33020017","E01009440","E02001838",2011,281,257,1,2,6,15
"E33020018","E01009450","E02001838",2011,367,345,1,0,4,17
"E33020018","E01009434","E02001838",2011,367,345,1,0,4,17
"E33020019","E01009225","E02001839",2011,365,336,0,1,2,26
"E33020019","E01009223","E02001839",2011,365,336,0,1,2,26
"E33020019","E01009228","E02001839",2011,365,336,0,1,2,26
"E33020020","E01009227","E02001839",2011,328,286,3,1,6,32
"E33020020","E01009228","E02001839",2011,328,286,3,1,6,32
"E33020021","E01009223","E02001839",2011,254,237,0,1,2,14
"E33020022","E01009228","E02001839",2011,310,274,1,5,8,22
"E33020022","E01009225","E02001839",2011,310,274,1,5,8,22
"E33020023","E01009129","E02001840",2011,305,262,3,7,13,20
"E33020023","E01009132","E02001840",2011,305,262,3,7,13,20
"E33020024","E01009121","E02001840",2011,245,215,0,4,4,22
"E33020025","E01009122","E02001840",2011,353,292,6,12,9,34
"E33020026","E01009136","E02001840",2011,376,278,3,3,28,64
"E33020026","E01009132","E02001840",2011,376,278,3,3,28,64
"E33020027","E01009121","E02001840",2011,274,237,2,4,11,20
"E33020028","E01009463","E02001841",2011,245,222,1,1,6,15
"E33020028","E01009457","E02001841",2011,245,222,1,1,6,15
"E33020029","E01009463","E02001841",2011,274,243,1,0,11,19
"E33020029","E01009459","E02001841",2011,274,243,1,0,11,19
"E33020030","E01009461","E02001841",2011,318,285,7,2,5,19
"E33020030","E01009463","E02001841",2011,318,285,7,2,5,19
"E33020031","E01009459","E02001841",2011,323,294,1,9,5,14
"E33020031","E01009457","E02001841",2011,323,294,1,9,5,14
"E33020032","E01009245","E02001842",2011,299,248,3,6,8,34
"E33020032","E01009246","E02001842",2011,299,248,3,6,8,34
"E33020032","E01009235","E02001842",2011,299,248,3,6,8,34
"E33020033","E01009247","E02001842",2011,295,253,2,5,6,29
"E33020033","E01009246","E02001842",2011,295,253,2,5,6,29
"E33020033","E01009243","E02001842",2011,295,253,2,5,6,29
"E33020034","E01009245","E02001842",2011,348,288,3,7,11,39
"E33020034","E01009243","E02001842",2011,348,288,3,7,11,39
"E33020035","E01009230","E02001843",2011,250,212,0,5,7,26
"E33020035","E01009229","E02001843",2011,250,212,0,5,7,26
"E33020036","E01009229","E02001843",2011,365,285,1,6,16,57
"E33020036","E01009231","E02001843",2011,365,285,1,6,16,57
"E33020036","E01009230","E02001843",2011,365,285,1,6,16,57
"E33020037","E01009231","E02001843",2011,322,297,1,2,8,14
"E33020038","E01009230","E02001843",2011,648,527,7,12,27,75
"E33020038","E01009226","E02001843",2011,648,527,7,12,27,75
"E33020038","E01009229","E02001843",2011,648,527,7,12,27,75
"E33020039","E01009226","E02001843",2011,317,273,1,6,8,29
"E33020040","E01009462","E02001844",2011,487,432,5,6,9,35
"E33020041","E01009003","E02001844",2011,465,373,4,8,19,61
"E33020042","E01009003","E02001844",2011,493,422,3,5,21,42
"E33020043","E01009458","E02001844",2011,284,248,1,6,4,25
"E33020043","E01009460","E02001844",2011,284,248,1,6,4,25
"E33020044","E01009456","E02001844",2011,344,316,0,5,7,16
"E33020044","E01009458","E02001844",2011,344,316,0,5,7,16
"E33020044","E01009460","E02001844",2011,344,316,0,5,7,16
"E33020045","E01009001","E02001844",2011,475,392,5,13,23,42
"E33020045","E01009460","E02001844",2011,475,392,5,13,23,42
"E33020046","E01009462","E02001844",2011,306,283,4,2,3,14
"E33020047","E01009236","E02001845",2011,304,262,0,8,6,28
"E33020047","E01009234","E02001845",2011,304,262,0,8,6,28
"E33020047","E01009244","E02001845",2011,304,262,0,8,6,28
"E33020048","E01009244","E02001845",2011,695,622,3,10,12,48
"E33020048","E01009248","E02001845",2011,695,622,3,10,12,48
"E33020049","E01009234","E02001845",2011,347,289,1,2,15,40
"E33020049","E01009248","E02001845",2011,347,289,1,2,15,40
"E33020049","E01009244","E02001845",2011,347,289,1,2,15,40
"E33020050","E01009405","E02001846",2011,297,253,2,6,8,28
"E33020050","E01009406","E02001846",2011,297,253,2,6,8,28
"E33020051","E01009407","E02001846",2011,358,275,2,10,37,34
"E33020051","E01009405","E02001846",2011,358,275,2,10,37,34
"E33020052","E01009403","E02001846",2011,387,313,2,17,16,39
"E33020052","E01009406","E02001846",2011,387,313,2,17,16,39
"E33020052","E01009404","E02001846",2011,387,313,2,17,16,39
"E33020053","E01009439","E02001847",2011,301,272,1,3,10,15
"E33020053","E01009442","E02001847",2011,301,272,1,3,10,15
"E33020054","E01009441","E02001847",2011,340,322,0,1,6,11
"E33020055","E01009443","E02001847",2011,579,543,0,2,8,26
"E33020055","E01009442","E02001847",2011,579,543,0,2,8,26
"E33020056","E01009123","E02001848",2011,449,390,3,3,13,40
"E33020057","E01009124","E02001848",2011,303,242,1,13,13,34
"E33020057","E01009125","E02001848",2011,303,242,1,13,13,34
"E33020057","E01009123","E02001848",2011,303,242,1,13,13,34
"E33020058","E01009232","E02001848",2011,549,441,10,10,33,55
"E33020059","E01033632","E02001849",2011,309,260,5,3,19,22
"E33020059","E01009007","E02001849",2011,309,260,5,3,19,22
"E33020060","E01009002","E02001849",2011,293,246,2,8,9,28
"E33020060","E01009006","E02001849",2011,293,246,2,8,9,28
"E33020060","E01009007","E02001849",2011,293,246,2,8,9,28
"E33020061","E01033632","E02001849",2011,335,289,1,5,19,21
"E33020062","E01009007","E02001849",2011,335,284,3,10,8,30
"E33020062","E01009006","E02001849",2011,335,284,3,10,8,30
"E33020063","E01009237","E02001850",2011,339,272,1,8,10,48
"E33020063","E01009240","E02001850",2011,339,272,1,8,10,48
"E33020064","E01009237","E02001850",2011,320,259,0,4,13,44
"E33020064","E01009238","E02001850",2011,320,259,0,4,13,44
"E33020065","E01009238","E02001850",2011,647,500,7,11,26,103
"E33020065","E01009241","E02001850",2011,647,500,7,11,26,103
"E33020065","E01009240","E02001850",2011,647,500,7,11,26,103
"E33020066","E01009242","E02001850",2011,483,362,18,15,11,77
"E33020066","E01009241","E02001850",2011,483,362,18,15,11,77
"E33020067","E01009100","E02001851",2011,449,381,2,12,15,39
"E33020067","E01009098","E02001851",2011,449,381,2,12,15,39
"E33020067","E01009105","E02001851",2011,449,381,2,12,15,39
"E33020068","E01009005","E02001851",2011,362,319,1,2,6,34
"E33020068","E01009009","E02001851",2011,362,319,1,2,6,34
"E33020068","E01009100","E02001851",2011,362,319,1,2,6,34
"E33020069","E01009105","E02001851",2011,495,439,2,5,13,36
"E33020070","E01009100","E02001851",2011,452,389,2,17,16,28
"E33020070","E01009098","E02001851",2011,452,389,2,17,16,28
"E33020071","E01009409","E02001852",2011,293,215,3,17,12,46
"E33020071","E01009408","E02001852",2011,293,215,3,17,12,46
"E33020072","E01009408","E02001852",2011,386,300,3,5,15,63
"E33020072","E01009410","E02001852",2011,386,300,3,5,15,63
"E33020073","E01009410","E02001852",2011,777,697,2,15,24,39
"E33020074","E01009410","E02001852",2011,463,355,10,11,13,74
"E33020074","E01009408","E02001852",2011,463,355,10,11,13,74
"E33020074","E01009126","E02001852",2011,463,355,10,11,13,74
"E33020075","E01009011","E02001854",2011,309,239,1,5,18,46
"E33020076","E01009008","E02001854",2011,310,255,1,5,5,44
"E33020076","E01009012","E02001854",2011,310,255,1,5,5,44
"E33020076","E01009011","E02001854",2011,310,255,1,5,5,44
"E33020077","E01009104","E02001854",2011,575,414,13,13,53,82
"E33020077","E01009102","E02001854",2011,575,414,13,13,53,82
"E33020078","E01009012","E02001854",2011,269,239,2,2,1,25
"E33020078","E01009102","E02001854",2011,269,239,2,2,1,25
"E33020079","E01009099","E02001855",2011,366,337,0,1,7,21
"E33020079","E01009097","E02001855",2011,366,337,0,1,7,21
"E33020080","E01009096","E02001855",2011,261,237,3,4,7,10
"E33020081","E01009103","E02001855",2011,380,338,0,4,15,23
"E33020081","E01009097","E02001855",2011,380,338,0,4,15,23
"E33020082","E01009106","E02001855",2011,929,871,0,8,23,27
"E33020082","E01009097","E02001855",2011,929,871,0,8,23,27
"E33020083","E01009101","E02001855",2011,675,616,2,8,10,39
"E33020083","E01009099","E02001855",2011,675,616,2,8,10,39
"E33020084","E01009411","E02001856",2011,675,550,13,31,37,44
"E33020084","E01009414","E02001856",2011,675,550,13,31,37,44
"E33020084","E01008915","E02001856",2011,675,550,13,31,37,44
"E33020085","E01009413","E02001856",2011,282,196,9,14,16,47
"E33020085","E01009412","E02001856",2011,282,196,9,14,16,47
"E33020085","E01009414","E02001856",2011,282,196,9,14,16,47
"E33020086","E01008915","E02001856",2011,567,450,2,8,32,75
"E33020087","E01009414","E02001856",2011,450,275,13,13,30,119
"E33020087","E01009413","E02001856",2011,450,275,13,13,30,119
"E33020088","E01008999","E02001857",2011,246,179,2,13,24,28
"E33020088","E01009000","E02001857",2011,246,179,2,13,24,28
"E33020089","E01033646","E02001857",2011,307,241,10,10,14,32
"E33020089","E01009000","E02001857",2011,307,241,10,10,14,32
"E33020090","E01033646","E02001857",2011,403,328,8,9,17,41
"E33020091","E01008998","E02001857",2011,395,313,1,10,26,45
"E33020092","E01009000","E02001857",2011,320,243,6,12,11,48
"E33020092","E01008999","E02001857",2011,320,243,6,12,11,48
"E33020092","E01009400","E02001857",2011,320,243,6,12,11,48
"E33020093","E01009013","E02001857",2011,290,223,4,8,14,41
"E33020094","E01033630","E02001857",2011,369,283,4,5,27,50
"E33020095","E01009013","E02001857",2011,570,462,2,16,33,57
"E33020096","E01009401","E02001857",2011,501,407,8,10,22,54
"E33020097","E01009056","E02001858",2011,273,167,1,9,30,66
"E33020098","E01009263","E02001858",2011,307,190,8,15,14,80
"E33020098","E01009049","E02001858",2011,307,190,8,15,14,80
"E33020099","E01009264","E02001858",2011,402,257,7,23,40,75
"E33020099","E01009265","E02001858",2011,402,257,7,23,40,75
"E33020100","E01009263","E02001858",2011,352,195,12,21,36,88
"E33020100","E01009265","E02001858",2011,352,195,12,21,36,88
"E33020101","E01009058","E02001859",2011,326,159,15,12,25,115
"E33020101","E01009054","E02001859",2011,326,159,15,12,25,115
"E33020101","E01009061","E02001859",2011,326,159,15,12,25,115
"E33020102","E01009054","E02001859",2011,499,329,15,26,24,105
"E33020102","E01009058","E02001859",2011,499,329,15,26,24,105
"E33020102","E01009051","E02001859",2011,499,329,15,26,24,105
"E33020103","E01009058","E02001859",2011,486,273,22,27,50,114
"E33020103","E01009053","E02001859",2011,486,273,22,27,50,114
"E33020104","E01009239","E02001859",2011,412,348,13,4,14,33
"E33020105","E01009051","E02001859",2011,393,210,16,29,35,103
"E33020105","E01009054","E02001859",2011,393,210,16,29,35,103
"E33020106","E01009273","E02001860",2011,331,107,32,24,63,105
"E33020106","E01009271","E02001860",2011,331,107,32,24,63,105
"E33020106","E01009269","E02001860",2011,331,107,32,24,63,105
"E33020106","E01009270","E02001860",2011,331,107,32,24,63,105
"E33020107","E01009266","E02001860",2011,418,218,22,39,38,101
"E33020107","E01009269","E02001860",2011,418,218,22,39,38,101
"E33020107","E01009271","E02001860",2011,418,218,22,39,38,101
"E33020108","E01009270","E02001860",2011,373,196,11,12,25,129
"E33020108","E01009266","E02001860",2011,373,196,11,12,25,129
"E33020109","E01009057","E02001861",2011,292,145,4,10,30,103
"E33020109","E01009059","E02001861",2011,292,145,4,10,30,103
"E33020110","E01033621","E02001861",2011,262,152,6,7,23,74
"E33020111","E01033621","E02001861",2011,258,168,5,11,10,64
"E33020112","E01009059","E02001861",2011,293,179,3,11,21,79
"E33020112","E01009060","E02001861",2011,293,179,3,11,21,79
"E33020113","E01009050","E02001861",2011,477,223,27,50,67,110
"E33020113","E01009057","E02001861",2011,477,223,27,50,67,110
"E33020114","E01009349","E02001862",2011,412,243,14,22,32,101
"E33020114","E01009351","E02001862",2011,412,243,14,22,32,101
"E33020115","E01009349","E02001862",2011,337,119,21,55,44,98
"E33020115","E01009351","E02001862",2011,337,119,21,55,44,98
"E33020115","E01009274","E02001862",2011,337,119,21,55,44,98
"E33020116","E01009274","E02001862",2011,297,139,11,22,27,98
"E33020117","E01009272","E02001862",2011,279,168,11,12,17,71
"E33020117","E01009268","E02001862",2011,279,168,11,12,17,71
"E33020118","E01009351","E02001862",2011,428,294,6,16,20,92
"E33020118","E01009354","E02001862",2011,428,294,6,16,20,92
"E33020119","E01009272","E02001862",2011,300,223,4,7,26,40
"E33020119","E01009274","E02001862",2011,300,223,4,7,26,40
"E33020120","E01008916","E02001863",2011,224,134,0,5,15,70
"E33020121","E01008901","E02001863",2011,220,171,0,1,6,42
"E33020122","E01033636","E02001863",2011,306,140,11,16,19,120
"E33020123","E01008899","E02001863",2011,427,355,4,7,13,48
"E33020123","E01008916","E02001863",2011,427,355,4,7,13,48
"E33020124","E01008901","E02001863",2011,312,183,4,8,27,90
"E33020124","E01033636","E02001863",2011,312,183,4,8,27,90
"E33020125","E01009081","E02001864",2011,613,481,10,15,32,75
"E33020125","E01009083","E02001864",2011,613,481,10,15,32,75
"E33020125","E01009080","E02001864",2011,613,481,10,15,32,75
"E33020125","E01009079","E02001864",2011,613,481,10,15,32,75
"E33020126","E01033635","E02001865",2011,396,187,23,30,38,118
"E33020127","E01009350","E02001865",2011,279,153,11,14,18,83
"E33020127","E01009275","E02001865",2011,279,153,11,14,18,83
"E33020128","E01009352","E02001865",2011,373,165,18,26,48,116
"E33020128","E01009353","E02001865",2011,373,165,18,26,48,116
"E33020129","E01009355","E02001865",2011,360,223,13,11,22,91
"E33020129","E01009352","E02001865",2011,360,223,13,11,22,91
"E33020130","E01009275","E02001865",2011,461,280,21,24,30,106
"E33020131","E01009355","E02001865",2011,596,405,10,15,42,124
"E33020132","E01008907","E02001866",2011,337,187,8,21,39,82
"E33020132","E01009048","E02001866",2011,337,187,8,21,39,82
"E33020133","E01008905","E02001866",2011,391,244,1,11,30,105
"E33020133","E01008907","E02001866",2011,391,244,1,11,30,105
"E33020134","E01009047","E02001866",2011,259,133,20,9,15,82
"E33020134","E01009048","E02001866",2011,259,133,20,9,15,82
"E33020135","E01009048","E02001866",2011,458,300,8,4,36,110
"E33020135","E01009047","E02001866",2011,458,300,8,4,36,110
"E33020136","E01009047","E02001866",2011,326,132,8,24,39,123
"E33020136","E01009062","E02001866",2011,326,132,8,24,39,123
"E33020137","E01008909","E02001867",2011,282,215,5,11,12,39
"E33020138","E01033637","E02001867",2011,338,223,3,7,17,88
"E33020139","E01033628","E02001867",2011,399,226,9,13,31,120
"E33020139","E01033637","E02001867",2011,399,226,9,13,31,120
"E33020140","E01033628","E02001867",2011,230,70,13,8,16,123
"E33020141","E01008909","E02001867",2011,505,352,4,14,38,97
"E33020141","E01033628","E02001867",2011,505,352,4,14,38,97
"E33020141","E01033637","E02001867",2011,505,352,4,14,38,97
"E33020142","E01009087","E02001868",2011,252,219,4,4,4,21
"E33020142","E01009089","E02001868",2011,252,219,4,4,4,21
"E33020143","E01009090","E02001868",2011,316,234,2,5,13,62
